jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2022,230,Winterthur,15-19,Ausland,männlich,685,false
2022,230,Winterthur,15-19,Ausland,weiblich,535,false
2022,230,Winterthur,15-19,Schweiz,männlich,2266,false
2022,230,Winterthur,15-19,Schweiz,weiblich,2123,false
2022,230,Winterthur,20-24,Ausland,männlich,904,false
2022,230,Winterthur,20-24,Ausland,weiblich,752,false
2022,230,Winterthur,20-24,Schweiz,männlich,2728,false
2022,230,Winterthur,20-24,Schweiz,weiblich,2987,false
2022,230,Winterthur,25-29,Ausland,männlich,1391,false
2022,230,Winterthur,25-29,Ausland,weiblich,1313,false
2022,230,Winterthur,25-29,Schweiz,männlich,3630,false
2022,230,Winterthur,25-29,Schweiz,weiblich,3893,false
2022,230,Winterthur,30-34,Ausland,männlich,1795,false
2022,230,Winterthur,30-34,Ausland,weiblich,1707,false
2022,230,Winterthur,30-34,Schweiz,männlich,3774,false
2022,230,Winterthur,30-34,Schweiz,weiblich,3573,false
2022,230,Winterthur,35-39,Ausland,männlich,1815,false
2022,230,Winterthur,35-39,Ausland,weiblich,1784,false
2022,230,Winterthur,35-39,Schweiz,männlich,3311,false
2022,230,Winterthur,35-39,Schweiz,weiblich,3107,false
2022,230,Winterthur,40-44,Ausland,männlich,1683,false
2022,230,Winterthur,40-44,Ausland,weiblich,1555,false
2022,230,Winterthur,40-44,Schweiz,männlich,2867,false
2022,230,Winterthur,40-44,Schweiz,weiblich,2839,false
2022,230,Winterthur,45-49,Ausland,männlich,1372,false
2022,230,Winterthur,45-49,Ausland,weiblich,1204,false
2022,230,Winterthur,45-49,Schweiz,männlich,2479,false
2022,230,Winterthur,45-49,Schweiz,weiblich,2589,false
2022,230,Winterthur,50-54,Ausland,männlich,1108,false
2022,230,Winterthur,50-54,Ausland,weiblich,984,false
2022,230,Winterthur,50-54,Schweiz,männlich,2686,false
2022,230,Winterthur,50-54,Schweiz,weiblich,2749,false
2022,230,Winterthur,55-59,Ausland,männlich,953,false
2022,230,Winterthur,55-59,Ausland,weiblich,876,false
2022,230,Winterthur,55-59,Schweiz,männlich,2928,false
2022,230,Winterthur,55-59,Schweiz,weiblich,3078,false
2022,230,Winterthur,60-64,Ausland,männlich,741,false
2022,230,Winterthur,60-64,Ausland,weiblich,608,false
2022,230,Winterthur,60-64,Schweiz,männlich,2441,false
2022,230,Winterthur,60-64,Schweiz,weiblich,2702,false
2022,230,Winterthur,65-69,Ausland,männlich,421,false
2022,230,Winterthur,65-69,Ausland,weiblich,396,false
2022,230,Winterthur,65-69,Schweiz,männlich,1969,false
2022,230,Winterthur,65-69,Schweiz,weiblich,2249,false
