jahr,gemeinde_bfs_nr,gemeinde,stadtkreis_bfs_nr,stadtkreis,quartier_bfs_nr,quartier,staatenkleingruppe,region,anzahl,anzahl_ist_kleingruppe
2023,230,Winterthur,3,Seen,315,Büelwiesen,Deutschland,"Nord-, Mittel- und Westeuropa",118,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Italien,Südeuropa,159,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Kosovo,Südosteuropa,76,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Mazedonien,Südosteuropa,56,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,3,Seen,315,Büelwiesen,Österreich,"Nord-, Mittel- und Westeuropa",22,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Osteuropa und Russland,Osteuropa,45,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Portugal,Südeuropa,31,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Schweiz,"Nord-, Mittel- und Westeuropa",2231,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Serbien,Südosteuropa,35,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Spanien,Südeuropa,23,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Türkei,Osteuropa,103,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",57,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,übriges Südosteuropa,Südosteuropa,31,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,unbekannt,unbekannt,6,false
2023,230,Winterthur,3,Seen,315,Büelwiesen,Westeuropa,"Nord-, Mittel- und Westeuropa",23,false
2023,230,Winterthur,4,Töss,420,Dättnau,Afrika,übrige Kontinente,41,false
2023,230,Winterthur,4,Töss,420,Dättnau,Amerika,übrige Kontinente,,true
2023,230,Winterthur,4,Töss,420,Dättnau,Asien,übrige Kontinente,122,false
2023,230,Winterthur,4,Töss,420,Dättnau,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,4,Töss,420,Dättnau,Deutschland,"Nord-, Mittel- und Westeuropa",150,false
2023,230,Winterthur,4,Töss,420,Dättnau,Italien,Südeuropa,200,false
2023,230,Winterthur,4,Töss,420,Dättnau,Kosovo,Südosteuropa,73,false
2023,230,Winterthur,4,Töss,420,Dättnau,Mazedonien,Südosteuropa,147,false
2023,230,Winterthur,4,Töss,420,Dättnau,Nordeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,4,Töss,420,Dättnau,Österreich,"Nord-, Mittel- und Westeuropa",23,false
2023,230,Winterthur,4,Töss,420,Dättnau,Osteuropa und Russland,Osteuropa,,true
2023,230,Winterthur,4,Töss,420,Dättnau,Portugal,Südeuropa,26,false
2023,230,Winterthur,4,Töss,420,Dättnau,Schweiz,"Nord-, Mittel- und Westeuropa",2775,false
2023,230,Winterthur,4,Töss,420,Dättnau,Serbien,Südosteuropa,46,false
2023,230,Winterthur,4,Töss,420,Dättnau,Spanien,Südeuropa,25,false
2023,230,Winterthur,4,Töss,420,Dättnau,Türkei,Osteuropa,103,false
2023,230,Winterthur,4,Töss,420,Dättnau,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",56,false
2023,230,Winterthur,4,Töss,420,Dättnau,übriges Südosteuropa,Südosteuropa,,true
2023,230,Winterthur,4,Töss,420,Dättnau,Westeuropa,"Nord-, Mittel- und Westeuropa",,true
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Afrika,übrige Kontinente,132,false
